Date,Habit,Completed
2024-01-01,Exercise,True
2024-01-01,Read,False
2024-01-01,Meditate,True
2024-01-01,Code,False
2024-01-01,Drink Water,False
2024-01-02,Exercise,True
2024-01-02,Read,False
2024-01-02,Meditate,True
2024-01-02,Code,False
2024-01-02,Drink Water,False
2024-01-03,Exercise,True
2024-01-03,Read,False
2024-01-03,Meditate,True
2024-01-03,Code,True
2024-01-03,Drink Water,True
2024-01-04,Exercise,True
2024-01-04,Read,False
2024-01-04,Meditate,True
2024-01-04,Code,True
2024-01-04,Drink Water,False
2024-01-05,Exercise,False
2024-01-05,Read,True
2024-01-05,Meditate,False
2024-01-05,Code,False
2024-01-05,Drink Water,True
2024-01-06,Exercise,False
2024-01-06,Read,False
2024-01-06,Meditate,True
2024-01-06,Code,True
2024-01-06,Drink Water,True
2024-01-07,Exercise,True
2024-01-07,Read,True
2024-01-07,Meditate,False
2024-01-07,Code,True
2024-01-07,Drink Water,False
2024-01-08,Exercise,True
2024-01-08,Read,False
2024-01-08,Meditate,False
2024-01-08,Code,False
2024-01-08,Drink Water,True
2024-01-09,Exercise,False
2024-01-09,Read,False
2024-01-09,Meditate,False
2024-01-09,Code,False
2024-01-09,Drink Water,False
2024-01-10,Exercise,False
2024-01-10,Read,False
2024-01-10,Meditate,True
2024-01-10,Code,True
2024-01-10,Drink Water,False
2024-01-11,Exercise,True
2024-01-11,Read,False
2024-01-11,Meditate,False
2024-01-11,Code,False
2024-01-11,Drink Water,False
2024-01-12,Exercise,True
2024-01-12,Read,True
2024-01-12,Meditate,True
2024-01-12,Code,False
2024-01-12,Drink Water,False
2024-01-13,Exercise,True
2024-01-13,Read,True
2024-01-13,Meditate,False
2024-01-13,Code,True
2024-01-13,Drink Water,False
2024-01-14,Exercise,True
2024-01-14,Read,True
2024-01-14,Meditate,True
2024-01-14,Code,True
2024-01-14,Drink Water,True
2024-01-15,Exercise,False
2024-01-15,Read,False
2024-01-15,Meditate,True
2024-01-15,Code,False
2024-01-15,Drink Water,True
2024-01-16,Exercise,True
2024-01-16,Read,True
2024-01-16,Meditate,False
2024-01-16,Code,True
2024-01-16,Drink Water,False
2024-01-17,Exercise,True
2024-01-17,Read,True
2024-01-17,Meditate,False
2024-01-17,Code,False
2024-01-17,Drink Water,True
2024-01-18,Exercise,True
2024-01-18,Read,True
2024-01-18,Meditate,True
2024-01-18,Code,True
2024-01-18,Drink Water,True
2024-01-19,Exercise,True
2024-01-19,Read,True
2024-01-19,Meditate,False
2024-01-19,Code,False
2024-01-19,Drink Water,False
2024-01-20,Exercise,False
2024-01-20,Read,True
2024-01-20,Meditate,True
2024-01-20,Code,False
2024-01-20,Drink Water,True
2024-01-21,Exercise,False
2024-01-21,Read,False
2024-01-21,Meditate,True
2024-01-21,Code,False
2024-01-21,Drink Water,True
2024-01-22,Exercise,True
2024-01-22,Read,False
2024-01-22,Meditate,False
2024-01-22,Code,True
2024-01-22,Drink Water,False
2024-01-23,Exercise,True
2024-01-23,Read,False
2024-01-23,Meditate,True
2024-01-23,Code,False
2024-01-23,Drink Water,True
2024-01-24,Exercise,True
2024-01-24,Read,False
2024-01-24,Meditate,False
2024-01-24,Code,False
2024-01-24,Drink Water,False
2024-01-25,Exercise,False
2024-01-25,Read,False
2024-01-25,Meditate,False
2024-01-25,Code,False
2024-01-25,Drink Water,False
2024-01-26,Exercise,False
2024-01-26,Read,True
2024-01-26,Meditate,False
2024-01-26,Code,False
2024-01-26,Drink Water,False
2024-01-27,Exercise,True
2024-01-27,Read,False
2024-01-27,Meditate,True
2024-01-27,Code,False
2024-01-27,Drink Water,False
2024-01-28,Exercise,True
2024-01-28,Read,False
2024-01-28,Meditate,True
2024-01-28,Code,False
2024-01-28,Drink Water,True
2024-01-29,Exercise,True
2024-01-29,Read,False
2024-01-29,Meditate,True
2024-01-29,Code,False
2024-01-29,Drink Water,False
2024-01-30,Exercise,False
2024-01-30,Read,False
2024-01-30,Meditate,True
2024-01-30,Code,True
2024-01-30,Drink Water,True
2024-01-31,Exercise,False
2024-01-31,Read,False
2024-01-31,Meditate,False
2024-01-31,Code,False
2024-01-31,Drink Water,False
2024-02-01,Exercise,False
2024-02-01,Read,False
2024-02-01,Meditate,False
2024-02-01,Code,True
2024-02-01,Drink Water,False
2024-02-02,Exercise,True
2024-02-02,Read,True
2024-02-02,Meditate,True
2024-02-02,Code,True
2024-02-02,Drink Water,False
2024-02-03,Exercise,True
2024-02-03,Read,False
2024-02-03,Meditate,True
2024-02-03,Code,False
2024-02-03,Drink Water,True
2024-02-04,Exercise,True
2024-02-04,Read,True
2024-02-04,Meditate,False
2024-02-04,Code,True
2024-02-04,Drink Water,False
2024-02-05,Exercise,False
2024-02-05,Read,False
2024-02-05,Meditate,False
2024-02-05,Code,False
2024-02-05,Drink Water,False
2024-02-06,Exercise,False
2024-02-06,Read,False
2024-02-06,Meditate,True
2024-02-06,Code,False
2024-02-06,Drink Water,False
2024-02-07,Exercise,True
2024-02-07,Read,False
2024-02-07,Meditate,False
2024-02-07,Code,True
2024-02-07,Drink Water,False
2024-02-08,Exercise,False
2024-02-08,Read,False
2024-02-08,Meditate,False
2024-02-08,Code,False
2024-02-08,Drink Water,False
2024-02-09,Exercise,True
2024-02-09,Read,True
2024-02-09,Meditate,True
2024-02-09,Code,True
2024-02-09,Drink Water,True
2024-02-10,Exercise,True
2024-02-10,Read,False
2024-02-10,Meditate,False
2024-02-10,Code,False
2024-02-10,Drink Water,True
2024-02-11,Exercise,False
2024-02-11,Read,False
2024-02-11,Meditate,True
2024-02-11,Code,False
2024-02-11,Drink Water,False
2024-02-12,Exercise,False
2024-02-12,Read,True
2024-02-12,Meditate,True
2024-02-12,Code,True
2024-02-12,Drink Water,False
2024-02-13,Exercise,True
2024-02-13,Read,True
2024-02-13,Meditate,False
2024-02-13,Code,False
2024-02-13,Drink Water,False
2024-02-14,Exercise,True
2024-02-14,Read,True
2024-02-14,Meditate,True
2024-02-14,Code,False
2024-02-14,Drink Water,False
2024-02-15,Exercise,True
2024-02-15,Read,True
2024-02-15,Meditate,True
2024-02-15,Code,True
2024-02-15,Drink Water,False
2024-02-16,Exercise,True
2024-02-16,Read,False
2024-02-16,Meditate,False
2024-02-16,Code,True
2024-02-16,Drink Water,True
2024-02-17,Exercise,False
2024-02-17,Read,False
2024-02-17,Meditate,True
2024-02-17,Code,True
2024-02-17,Drink Water,True
2024-02-18,Exercise,False
2024-02-18,Read,False
2024-02-18,Meditate,True
2024-02-18,Code,True
2024-02-18,Drink Water,False
2024-02-19,Exercise,False
2024-02-19,Read,False
2024-02-19,Meditate,True
2024-02-19,Code,False
2024-02-19,Drink Water,False
2024-02-20,Exercise,True
2024-02-20,Read,True
2024-02-20,Meditate,False
2024-02-20,Code,False
2024-02-20,Drink Water,True
2024-02-21,Exercise,True
2024-02-21,Read,True
2024-02-21,Meditate,True
2024-02-21,Code,False
2024-02-21,Drink Water,True
2024-02-22,Exercise,True
2024-02-22,Read,False
2024-02-22,Meditate,True
2024-02-22,Code,False
2024-02-22,Drink Water,True
2024-02-23,Exercise,True
2024-02-23,Read,False
2024-02-23,Meditate,False
2024-02-23,Code,True
2024-02-23,Drink Water,True
2024-02-24,Exercise,False
2024-02-24,Read,True
2024-02-24,Meditate,False
2024-02-24,Code,True
2024-02-24,Drink Water,False
2024-02-25,Exercise,False
2024-02-25,Read,False
2024-02-25,Meditate,False
2024-02-25,Code,True
2024-02-25,Drink Water,False
2024-02-26,Exercise,False
2024-02-26,Read,True
2024-02-26,Meditate,False
2024-02-26,Code,True
2024-02-26,Drink Water,True
2024-02-27,Exercise,True
2024-02-27,Read,False
2024-02-27,Meditate,False
2024-02-27,Code,False
2024-02-27,Drink Water,False
2024-02-28,Exercise,True
2024-02-28,Read,True
2024-02-28,Meditate,False
2024-02-28,Code,True
2024-02-28,Drink Water,True
2024-02-29,Exercise,False
2024-02-29,Read,True
2024-02-29,Meditate,True
2024-02-29,Code,True
2024-02-29,Drink Water,True
2024-03-01,Exercise,True
2024-03-01,Read,False
2024-03-01,Meditate,True
2024-03-01,Code,False
2024-03-01,Drink Water,False
2024-03-02,Exercise,False
2024-03-02,Read,False
2024-03-02,Meditate,False
2024-03-02,Code,True
2024-03-02,Drink Water,True
2024-03-03,Exercise,False
2024-03-03,Read,False
2024-03-03,Meditate,True
2024-03-03,Code,False
2024-03-03,Drink Water,True
2024-03-04,Exercise,True
2024-03-04,Read,True
2024-03-04,Meditate,False
